,MAE,RMSE,R2,Training Time
Baseline_LR,290.28109393324553,456.53315563515343,0.9945206019880914,0.01739048957824707
RandomForest_Tuned,658.4763814396739,847.0844852540786,0.9811356582453737,182.4607150554657
DeepLearning,303.2308132266319,465.0233350637568,0.9943149054267781,71.36198782920837
